time	V(vout)
0.000000000000000e+000	2.890681e+000
1.000000000000000e-004	2.891833e+000
2.000000000000000e-004	2.892664e+000
3.000000000000000e-004	2.896772e+000
4.000000000000000e-004	2.903580e+000
5.000000000000000e-004	2.907404e+000
6.000000000000001e-004	2.905705e+000
7.000000000000001e-004	2.901075e+000
7.293844058565849e-004	2.901615e+000
7.587688117131698e-004	2.902262e+000
7.881532175697546e-004	2.903017e+000
8.175376234263395e-004	2.903880e+000
8.469220292829244e-004	2.904850e+000
8.763064351395092e-004	2.905927e+000
9.056908409960940e-004	2.907112e+000
1.000000000000000e-003	2.910147e+000
1.100000000000000e-003	2.914783e+000
1.200000000000000e-003	2.915830e+000
1.300000000000000e-003	2.910219e+000
1.400000000000000e-003	2.904462e+000
1.500000000000001e-003	2.901328e+000
1.600000000000001e-003	2.900246e+000
1.700000000000001e-003	2.890825e+000
1.800000000000001e-003	2.883281e+000
1.900000000000001e-003	2.879936e+000
2.000000000000001e-003	2.874817e+000
2.100000000000000e-003	2.873289e+000
2.200000000000000e-003	2.873887e+000
2.300000000000000e-003	2.878253e+000
2.400000000000000e-003	2.879147e+000
2.500000000000000e-003	2.879742e+000
2.599999999999999e-003	2.881651e+000
2.707999999999994e-003	2.881385e+000
2.799999999999999e-003	2.883545e+000
2.899999999999999e-003	2.885532e+000
2.999999999999999e-003	2.879415e+000
3.099999999999999e-003	2.869687e+000
3.199999999999998e-003	2.869950e+000
3.299999999999998e-003	2.871351e+000
3.399999999999998e-003	2.865940e+000
3.499999999999998e-003	2.867413e+000
3.599999999999998e-003	2.870455e+000
3.699999999999998e-003	2.869982e+000
3.799999999999997e-003	2.870845e+000
3.899999999999997e-003	2.873988e+000
3.999999999999998e-003	2.875393e+000
4.099999999999998e-003	2.870763e+000
4.199999999999998e-003	2.872663e+000
4.299999999999998e-003	2.881804e+000
4.399999999999999e-003	2.883891e+000
4.499999999999999e-003	2.880396e+000
4.599999999999999e-003	2.882372e+000
4.699999999999999e-003	2.880645e+000
4.728571428571428e-003	2.878494e+000
4.757142857142857e-003	2.876613e+000
4.785714285714286e-003	2.875000e+000
4.814285714285714e-003	2.873655e+000
4.842857142857143e-003	2.872580e+000
4.871428571428572e-003	2.871773e+000
4.900000000000000e-003	2.871235e+000
4.928571428571429e-003	2.870825e+000
4.957142857142857e-003	2.870327e+000
4.985714285714286e-003	2.869740e+000
5.014285714285714e-003	2.869065e+000
5.042857142857143e-003	2.868302e+000
5.071428571428572e-003	2.867450e+000
5.100000000000000e-003	2.866510e+000
5.128571428571429e-003	2.865642e+000
5.157142857142858e-003	2.865023e+000
5.185714285714287e-003	2.864653e+000
5.214285714285715e-003	2.864533e+000
5.242857142857144e-003	2.864662e+000
5.271428571428573e-003	2.865040e+000
5.300000000000001e-003	2.865668e+000
5.400000000000001e-003	2.864943e+000
5.442857142857144e-003	2.863442e+000
5.485714285714287e-003	2.862504e+000
5.528571428571430e-003	2.862127e+000
5.571428571428573e-003	2.862312e+000
5.614285714285716e-003	2.863059e+000
5.657142857142859e-003	2.864368e+000
5.700000000000002e-003	2.866238e+000
5.800000000000002e-003	2.863577e+000
5.900000000000003e-003	2.858919e+000
6.000000000000003e-003	2.859374e+000
6.028571428571432e-003	2.858579e+000
6.057142857142860e-003	2.857744e+000
6.085714285714289e-003	2.856868e+000
6.114285714285717e-003	2.855952e+000
6.142857142857146e-003	2.854995e+000
6.171428571428574e-003	2.853997e+000
6.200000000000003e-003	2.852960e+000
6.300000000000004e-003	2.853803e+000
6.328571428571433e-003	2.855166e+000
6.357142857142861e-003	2.855686e+000
6.385714285714290e-003	2.855361e+000
6.414285714285718e-003	2.854192e+000
6.442857142857147e-003	2.852179e+000
6.471428571428576e-003	2.849322e+000
6.500000000000004e-003	2.845621e+000
6.600000000000004e-003	2.838735e+000
6.700000000000005e-003	2.838687e+000
6.715428571428519e-003	2.838043e+000
6.730857142857033e-003	2.837405e+000
6.746285714285548e-003	2.836773e+000
6.761714285714062e-003	2.836147e+000
6.777142857142576e-003	2.835527e+000
6.792571428571091e-003	2.834913e+000
6.807999999999605e-003	2.834305e+000
6.900000000000005e-003	2.829612e+000
7.000000000000005e-003	2.823588e+000
7.100000000000006e-003	2.813875e+000
7.200000000000006e-003	2.807137e+000
7.300000000000006e-003	2.806321e+000
7.400000000000006e-003	2.801587e+000
7.500000000000007e-003	2.800879e+000
7.600000000000007e-003	2.803114e+000
7.700000000000007e-003	2.808514e+000
7.800000000000007e-003	2.813864e+000
7.900000000000008e-003	2.816948e+000
8.000000000000007e-003	2.819362e+000
8.100000000000007e-003	2.814548e+000
8.200000000000006e-003	2.813663e+000
8.300000000000005e-003	2.812018e+000
8.400000000000005e-003	2.802189e+000
8.500000000000004e-003	2.797149e+000
8.600000000000004e-003	2.798116e+000
8.700000000000003e-003	2.795136e+000
8.800000000000002e-003	2.796041e+000
8.900000000000002e-003	2.803446e+000
9.000000000000001e-003	2.808618e+000
9.100000000000000e-003	2.810839e+000
9.200000000000000e-003	2.810986e+000
9.299999999999999e-003	2.810942e+000
9.399999999999999e-003	2.808748e+000
9.499999999999998e-003	2.802275e+000
9.599999999999997e-003	2.802891e+000
9.699999999999997e-003	2.801663e+000
9.728571428571425e-003	2.800340e+000
9.757142857142853e-003	2.799241e+000
9.785714285714281e-003	2.798365e+000
9.814285714285711e-003	2.797713e+000
9.842857142857139e-003	2.797284e+000
9.871428571428568e-003	2.797078e+000
