time	V(vout)
0.000000000000000e+000	3.612612e+000
1.000000000000000e-004	3.612551e+000
2.000000000000000e-004	3.612480e+000
3.000000000000000e-004	3.612469e+000
4.000000000000000e-004	3.612467e+000
5.000000000000000e-004	3.612408e+000
6.000000000000001e-004	3.612389e+000
7.000000000000001e-004	3.612379e+000
8.000000000000002e-004	3.612278e+000
8.285714285714287e-004	3.612284e+000
8.571428571428573e-004	3.612283e+000
8.857142857142859e-004	3.612275e+000
9.142857142857145e-004	3.612258e+000
9.428571428571431e-004	3.612235e+000
9.714285714285717e-004	3.612204e+000
1.000000000000000e-003	3.612165e+000
1.107284276475000e-003	3.611995e+000
1.200000000000000e-003	3.611893e+000
1.300000000000000e-003	3.611663e+000
1.400000000000000e-003	3.611309e+000
1.600000000000001e-003	3.610697e+000
1.700000000000001e-003	3.610388e+000
1.728571428571429e-003	3.610313e+000
1.757142857142858e-003	3.610220e+000
1.785714285714286e-003	3.610110e+000
1.814285714285715e-003	3.609981e+000
1.842857142857144e-003	3.609834e+000
1.871428571428572e-003	3.609668e+000
1.900000000000001e-003	3.609485e+000
1.915403061758399e-003	3.609384e+000
1.930806123516797e-003	3.609288e+000
1.946209185275195e-003	3.609197e+000
1.961612247033593e-003	3.609111e+000
1.977015308791991e-003	3.609030e+000
1.992418370550389e-003	3.608955e+000
2.007821432308787e-003	3.608884e+000
2.100000000000000e-003	3.608578e+000
2.128571428571429e-003	3.608504e+000
2.157142857142858e-003	3.608423e+000
2.185714285714286e-003	3.608336e+000
2.214285714285715e-003	3.608244e+000
2.242857142857143e-003	3.608145e+000
2.271428571428571e-003	3.608041e+000
2.300000000000000e-003	3.607930e+000
2.400000000000000e-003	3.607610e+000
2.500000000000000e-003	3.607271e+000
2.528571428571428e-003	3.607139e+000
2.557142857142857e-003	3.607013e+000
2.585714285714285e-003	3.606895e+000
2.614285714285714e-003	3.606784e+000
2.642857142857142e-003	3.606679e+000
2.671428571428571e-003	3.606582e+000
2.699999999999999e-003	3.606492e+000
2.806399999999995e-003	3.606151e+000
2.899999999999999e-003	3.605676e+000
2.999999999999999e-003	3.605186e+000
3.099999999999999e-003	3.604732e+000
3.199999999999998e-003	3.604160e+000
3.228571428571427e-003	3.604021e+000
3.257142857142856e-003	3.603870e+000
3.285714285714284e-003	3.603706e+000
3.314285714285713e-003	3.603530e+000
3.342857142857141e-003	3.603341e+000
3.371428571428570e-003	3.603140e+000
3.399999999999998e-003	3.602926e+000
3.499999999999998e-003	3.602356e+000
3.599999999999998e-003	3.601959e+000
3.615428577111612e-003	3.601879e+000
3.630857154223226e-003	3.601800e+000
3.646285731334840e-003	3.601722e+000
3.661714308446454e-003	3.601646e+000
3.677142885558068e-003	3.601571e+000
3.692571462669682e-003	3.601498e+000
3.708000039781296e-003	3.601426e+000
3.806400031825036e-003	3.600921e+000
3.899999999999997e-003	3.600436e+000
3.999999999999998e-003	3.600173e+000
4.099999999999998e-003	3.599775e+000
4.199999999999998e-003	3.598911e+000
4.299999999999998e-003	3.598306e+000
4.316313778069862e-003	3.598262e+000
4.332627556139725e-003	3.598215e+000
4.348941334209588e-003	3.598167e+000
4.365255112279452e-003	3.598118e+000
4.381568890349315e-003	3.598067e+000
4.397882668419178e-003	3.598014e+000
4.414196446489042e-003	3.597959e+000
4.499999999999999e-003	3.597557e+000
4.528571428571428e-003	3.597397e+000
4.557142857142856e-003	3.597246e+000
4.585714285714285e-003	3.597103e+000
4.614285714285713e-003	3.596970e+000
4.642857142857142e-003	3.596846e+000
4.671428571428571e-003	3.596731e+000
4.699999999999999e-003	3.596624e+000
4.800000000000000e-003	3.596407e+000
4.900000000000000e-003	3.595959e+000
5.000000000000000e-003	3.595487e+000
5.100000000000000e-003	3.595456e+000
5.129912286121691e-003	3.595411e+000
5.159824572243382e-003	3.595368e+000
5.189736858365073e-003	3.595328e+000
5.219649144486764e-003	3.595289e+000
5.249561430608455e-003	3.595253e+000
5.279473716730146e-003	3.595219e+000
5.309386002851837e-003	3.595188e+000
5.400000000000001e-003	3.594953e+000
5.500000000000001e-003	3.594931e+000
5.600000000000002e-003	3.595029e+000
5.700000000000002e-003	3.594887e+000
5.728571428571431e-003	3.594878e+000
5.757142857142859e-003	3.594875e+000
5.785714285714288e-003	3.594875e+000
5.814285714285716e-003	3.594880e+000
5.842857142857145e-003	3.594889e+000
5.871428571428574e-003	3.594902e+000
5.900000000000003e-003	3.594920e+000
6.000000000000003e-003	3.594922e+000
6.100000000000003e-003	3.595099e+000
6.200000000000003e-003	3.595415e+000
6.242857142857146e-003	3.595439e+000
6.285714285714289e-003	3.595436e+000
6.328571428571433e-003	3.595406e+000
6.371428571428575e-003	3.595349e+000
6.414285714285718e-003	3.595264e+000
6.457142857142861e-003	3.595153e+000
6.500000000000004e-003	3.595013e+000
6.515200000000004e-003	3.594964e+000
6.530400000000004e-003	3.594924e+000
6.545600000000004e-003	3.594894e+000
6.560800000000004e-003	3.594874e+000
6.576000000000004e-003	3.594864e+000
6.591200000000004e-003	3.594863e+000
6.606400000000004e-003	3.594873e+000
6.700000000000005e-003	3.595114e+000
6.806400000000018e-003	3.595440e+000
6.900000000000005e-003	3.595730e+000
7.000000000000005e-003	3.595937e+000
7.100000000000006e-003	3.596284e+000
7.128571428571435e-003	3.596490e+000
7.157142857142863e-003	3.596671e+000
7.185714285714292e-003	3.596826e+000
7.214285714285720e-003	3.596956e+000
7.242857142857149e-003	3.597060e+000
7.271428571428578e-003	3.597138e+000
7.300000000000006e-003	3.597191e+000
7.400000000000006e-003	3.597489e+000
7.429404572028195e-003	3.597648e+000
7.458809144056383e-003	3.597788e+000
7.488213716084571e-003	3.597910e+000
7.517618288112760e-003	3.598013e+000
7.547022860140948e-003	3.598098e+000
7.576427432169136e-003	3.598164e+000
7.605832004197324e-003	3.598211e+000
7.700000000000007e-003	3.598271e+000
7.800000000000007e-003	3.598474e+000
7.828571428571437e-003	3.598573e+000
7.857142857142865e-003	3.598649e+000
7.885714285714293e-003	3.598701e+000
7.914285714285721e-003	3.598728e+000
7.942857142857151e-003	3.598732e+000
7.971428571428579e-003	3.598712e+000
8.000000000000007e-003	3.598668e+000
8.100000000000007e-003	3.598921e+000
8.200000000000006e-003	3.599338e+000
8.300000000000005e-003	3.599552e+000
8.400000000000005e-003	3.599793e+000
8.500000000000004e-003	3.600045e+000
8.600000000000004e-003	3.600176e+000
8.700000000000003e-003	3.600067e+000
8.800000000000002e-003	3.600182e+000
8.900000000000002e-003	3.600491e+000
9.000000000000001e-003	3.600726e+000
9.100000000000000e-003	3.600700e+000
9.200000000000000e-003	3.600582e+000
9.306912751615716e-003	3.600299e+000
9.399999999999999e-003	3.600567e+000
9.499999999999998e-003	3.600793e+000
9.515296951093497e-003	3.600765e+000
9.530593902186996e-003	3.600742e+000
9.545890853280495e-003	3.600725e+000
9.561187804373995e-003	3.600714e+000
9.576484755467494e-003	3.600709e+000
9.591781706560993e-003	3.600709e+000
9.607078657654491e-003	3.600716e+000
9.705662926123591e-003	3.600865e+000
9.799999999999996e-003	3.601013e+000
9.899999999999996e-003	3.601218e+000
9.999999999999995e-003	3.601385e+000
1.009999999999999e-002	3.601471e+000
1.019999999999999e-002	3.601544e+000
1.029999999999999e-002	3.601531e+000
1.039999999999999e-002	3.601525e+000
1.049999999999999e-002	3.601495e+000
1.059999999999999e-002	3.601425e+000
1.069999999999999e-002	3.601388e+000
1.079999999999999e-002	3.601293e+000
1.089999999999999e-002	3.600847e+000
1.099999999999999e-002	3.600457e+000
1.103130395199785e-002	3.600375e+000
1.106260790399571e-002	3.600288e+000
1.109391185599358e-002	3.600195e+000
1.112521580799144e-002	3.600097e+000
1.115651975998930e-002	3.599993e+000
1.118782371198716e-002	3.599883e+000
1.121912766398502e-002	3.599768e+000
1.129999999999999e-002	3.599453e+000
1.134285714285713e-002	3.599295e+000
1.138571428571427e-002	3.599174e+000
1.142857142857142e-002	3.599090e+000
1.147142857142856e-002	3.599042e+000
1.151428571428570e-002	3.599030e+000
1.155714285714284e-002	3.599056e+000
1.159999999999999e-002	3.599118e+000
1.169999999999999e-002	3.599266e+000
1.189999999999998e-002	3.598918e+000
1.199999999999998e-002	3.598558e+000
1.209999999999998e-002	3.598164e+000
